File name,File size,MIME type,Image size,Camera make,Camera model,Image timestamp,Image number,Exposure time,Aperture,Exposure bias,Flash,Flash bias,Focal length,Subject distance,ISO speed,Exposure mode,Metering mode,Macro mode,Image quality,Exif Resolution,White balance,Thumbnail,Copyright,Exif comment
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0001-jmac_DSC1459.dng,5248022 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:01:09 23:03:49,,1/400 s,F10,0 EV,No flash,,20.0 mm (35 mm equivalent: 30.0 mm),,200,Auto,Multi-segment,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0002-dgw_005.dng,13293308 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2008:12:23 15:08:12,,1/25 s,F2.8,0 EV,No flash,,50.0 mm (35 mm equivalent: 50.0 mm),,2000,Aperture priority,Center weighted average,,,4284 x 2844,Auto,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0141-IMG_3342.dng,11814116 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:08:02 10:27:48,,1/500 s,F5.6,0 EV,No, compulsory,,100.0 mm,,200,Aperture priority,Multi-segment,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0142-IMG_2048.dng,13181054 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:07:06 03:43:32,,1/200 s,F2.8,0 EV,No, compulsory,,17.0 mm,,800,Aperture priority,Partial,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0143-kme_060.dng,11236410 Bytes,image/tiff,3944 x 2622,Canon,Canon EOS 40D,2008:04:07 19:44:27,,1/320 s,F4.5,0 EV,No, compulsory,,35.0 mm,,100,Auto,Multi-segment,,,3944 x 2622,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0144-07-11-20-at-16h38m08s-_MG_5725.dng,11750408 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2007:11:20 16:38:08,,1/320 s,F5.6,0 EV,No, compulsory,,24.0 mm,,1600,Aperture priority,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0145-DSC_0009-1.dng,5172902 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70s,2008:02:19 16:31:55,,1/8000 s,F1.4,0 EV,No flash,,50.0 mm (35 mm equivalent: 75.0 mm),,1400,Aperture priority,Multi-segment,,,3040 x 2014,Auto,None,,Copyright(C) Vladimir Bychkovsky
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0146-07-11-23-at-10h54m29s-_MG_6544.dng,13018884 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2007:11:23 10:54:29,,1/30 s,F16,0 EV,No, compulsory,,24.0 mm,,800,Aperture priority,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0147-kme_333.dng,5482962 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:07:14 09:27:12,,1/160 s,F6.3,0 EV,No flash,,62.0 mm (35 mm equivalent: 93.0 mm),,200,Auto,Multi-segment,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0148-07-07-16-at-23h50m49s-_MG_2214.dng,11172206 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2007:07:16 23:50:49,,1/80 s,F5.6,0 EV,No, compulsory,,32.0 mm,,640,Aperture priority,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0149-tc_DSC3938.dng,12153590 Bytes,image/tiff,4320 x 2868,NIKON CORPORATION,NIKON D300,2009:02:13 19:29:58,,1/45 s,F5.6,+1/3 EV,Yes, compulsory, return light not detected,,32.0 mm (35 mm equivalent: 48.0 mm),,500,Manual,Center weighted average,,,4320 x 2868,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0150-_DSC0064.dng,4651160 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70s,2007:04:15 11:08:55,,1/1500 s,F4,0 EV,No flash,,24.0 mm (35 mm equivalent: 36.0 mm),,250,Aperture priority,Multi-segment,,,3040 x 2014,Auto,None,,Copyright(C) Vladimir Bychkovsky
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0151-JI2E3955.dng,6891626 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS-1D Mark II,2004:09:13 03:03:13,,1/1000 s,F8,0 EV,No, compulsory,,280.0 mm,,500,Auto,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0152-IMG_2713.dng,13826962 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:07:26 16:25:34,,1/200 s,F2.8,0 EV,No, compulsory,,200.0 mm,,640,Aperture priority,Partial,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0153-kme_560.dng,13807226 Bytes,image/tiff,4104 x 3048,Canon,Canon PowerShot G9,2008:08:06 20:57:33,,1/200 s,F8,0 EV,No, compulsory,,44.4 mm,,100,,Multi-segment,,,4104 x 3048,Manual,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0154-IMG_4393.dng,11529424 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:08:30 17:52:56,,1/100 s,F2.8,0 EV,No, compulsory,,55.0 mm,,100,Aperture priority,Spot,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0155-kme_116.dng,12763712 Bytes,image/tiff,3944 x 2622,Canon,Canon EOS 40D,2008:09:18 14:46:19,,1/500 s,F5.6,+1/3 EV,No, compulsory,,35.0 mm,,200,Auto,Multi-segment,,,3944 x 2622,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0156-_DSC0008.dng,6025524 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70s,2007:04:15 10:04:54,,1/180 s,F8,0 EV,No flash,,55.0 mm (35 mm equivalent: 82.0 mm),,800,Aperture priority,Multi-segment,,,3040 x 2014,Auto,None,,Copyright(C) Vladimir Bychkovsky
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0157-DSC_0011-1.dng,5180410 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70s,2007:12:25 13:22:36,,1/250 s,F11,0 EV,No flash,,42.0 mm (35 mm equivalent: 63.0 mm),,200,Aperture priority,Multi-segment,,,3040 x 2014,Auto,None,,Copyright(C) Vladimir Bychkovsky
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0158-051124_163114__I2E9732.dng,7577154 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS-1D Mark II,2005:11:24 16:31:14,,1/60 s,F2.8,0 EV,No, compulsory,,24.0 mm,,800,Aperture priority,Center weighted average,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0159-20061222_130937__E6B6186.dng,7819436 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS-1D Mark II,2006:12:22 13:09:37,,1/2500 s,F11,0 EV,No, compulsory,,400.0 mm,,640,Manual,Spot,,,3596 x 2360,Auto,None,Copyright 2007 by Eric Chan,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0160-_DSC0023.dng,5420828 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70s,2007:08:26 08:36:02,,1/125 s,F4.8,0 EV,No flash,,31.0 mm (35 mm equivalent: 46.0 mm),,1600,Aperture priority,Multi-segment,,,3040 x 2014,Auto,None,,Copyright(C) Vladimir Bychkovsky
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0161-_DSC0022.dng,4518494 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70s,2007:08:11 12:56:37,,1/90 s,F19,0 EV,No flash,,55.0 mm (35 mm equivalent: 82.0 mm),,200,Aperture priority,Multi-segment,,,3040 x 2014,Auto,None,,Copyright(C) Vladimir Bychkovsky
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0162-WP_CRW_0271.dng,6202732 Bytes,image/tiff,3152 x 2068,Canon,Canon EOS DIGITAL REBEL,2005:05:06 00:06:22,,1/125 s,F7.1,0 EV,No flash,,28.0 mm,,200,Auto,Multi-segment,,,3152 x 2068,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0163-WP_CRW_0638.dng,4560710 Bytes,image/tiff,3152 x 2068,Canon,Canon EOS 10D,2005:05:09 03:24:06,,1/125 s,F8,0 EV,No flash,,28.0 mm,,200,Auto,Multi-segment,,,3152 x 2068,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0164-kme_446.dng,8214904 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2006:11:24 07:40:26,,1/100 s,F3.5,+1/3 EV,No, compulsory,,65.0 mm,,100,Auto,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0165-_MG_1166.dng,7563484 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2005:04:24 10:26:14,,1/125 s,F14,0 EV,Yes, compulsory,,54.0 mm,,1600,Manual,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0166-kme_509.dng,11546264 Bytes,image/tiff,4104 x 3048,Canon,Canon PowerShot G9,2007:10:13 15:27:13,,1/800 s,F4,-1/3 EV,No, compulsory,,7.4 mm,,100,,Multi-segment,,,4104 x 3048,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0167-JI2E5064.dng,7542496 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS-1D Mark II,2004:09:26 16:10:28,,1/125 s,F4.5,0 EV,No, compulsory,,50.0 mm,,1600,Auto,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0168-LSCRW_2102.dng,6477466 Bytes,image/tiff,3152 x 2068,Canon,Canon EOS 10D,2005:04:21 12:17:44,,1/250 s,F8,0 EV,No flash,,25.0 mm,,100,Manual,Multi-segment,,,3152 x 2068,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0169-jn_20081025_Kent_Shelter_168.dng,7200048 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 30D,2008:10:25 14:59:02,,1/250 s,F8,+1 EV,Yes, compulsory,,64.0 mm,,800,Aperture priority,Multi-segment,,,3596 x 2360,Manual,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0170-IMG_0071.dng,11859496 Bytes,image/tiff,3944 x 2622,Canon,Canon EOS 40D,2008:06:30 13:32:51,,1/200 s,F6.3,0 EV,No, compulsory,,250.0 mm,,400,Aperture priority,Multi-segment,,,3944 x 2622,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0171-kme_265.dng,5248150 Bytes,image/tiff,3032 x 2024,NIKON CORPORATION,NIKON D100,2003:10:02 10:07:10,,1/320 s,F9,-1/3 EV,No flash,,35.0 mm (35 mm equivalent: 52.0 mm),,200,Auto,Multi-segment,,,3032 x 2024,Manual,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0172-jmac_DSC3528.dng,4384720 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:02:14 08:14:24,,1/500 s,F11,0 EV,No flash,,24.0 mm (35 mm equivalent: 36.0 mm),,200,Manual,Multi-segment,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0173-IMG_1653.dng,14119884 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:06:30 00:05:49,,1/50 s,F3.2,0 EV,No, compulsory,,17.0 mm,,200,Aperture priority,Spot,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0174-NKIM_MG_6678.dng,9653348 Bytes,image/tiff,3944 x 2622,Canon,Canon EOS 40D,2008:11:07 18:23:48,,1/25 s,F2.8,0 EV,No, compulsory,,17.0 mm,,400,Manual,Multi-segment,,,3944 x 2622,Manual,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0175-KE_-1376.dng,5458926 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:06:08 07:57:36,,1/320 s,F9,0 EV,No flash,,44.0 mm (35 mm equivalent: 66.0 mm),,200,Auto,Multi-segment,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0176-jmac_DSC0547.dng,3780634 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:01:08 17:47:29,,1/400 s,F10,0 EV,No flash,,20.0 mm (35 mm equivalent: 30.0 mm),,200,Auto,Multi-segment,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0177-dgw_078.dng,13907638 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2009:02:24 09:45:13,,1/320 s,F9,0 EV,No flash,,50.0 mm (35 mm equivalent: 50.0 mm),,400,Auto,Spot,,,4284 x 2844,Auto,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0178-20050330_200118__E6B2943.dng,7381036 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS-1D Mark II,2005:03:30 20:01:18,,1/100 s,F8,0 EV,No, compulsory,,135.0 mm,,100,Manual,Spot,,,3596 x 2360,Auto,None,Copyright 2007 by Eric Chan,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0179-IMG_0006.dng,12866938 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:07:18 18:53:42,,1/25 s,F5.6,0 EV,No, compulsory,,61.0 mm,,400,Auto,Multi-segment,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0180-kme_307.dng,2788106 Bytes,image/tiff,3072 x 2048,KODAK,DCS460D         FILE VERSION 3,,,1/160 s,F5.6,0 EV,,,70.0 mm,,80,Auto,,,,3072 x 2048,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0181-IMG_0015.dng,12144586 Bytes,image/tiff,3944 x 2622,Canon,Canon EOS 40D,2008:06:29 17:52:16,,1/100 s,F6.3,0 EV,No, compulsory,,55.0 mm,,1600,Aperture priority,Multi-segment,,,3944 x 2622,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0182-jmac_DSC2564.dng,5007626 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:02:07 00:16:19,,1/15 s,F2.8,0 EV,No flash,,20.0 mm (35 mm equivalent: 30.0 mm),,200,Auto,Multi-segment,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0183-07-06-02-at-07h15m59-s_MG_1347.dng,11483816 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2007:06:02 07:15:59,,1/1000 s,F9,0 EV,No, compulsory,,24.0 mm,,500,Aperture priority,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0184-_DSC0097.dng,4944764 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70s,2007:08:14 15:40:07,,1/500 s,F5.6,0 EV,No flash,,240.0 mm (35 mm equivalent: 360.0 mm),,500,Aperture priority,Multi-segment,,,3040 x 2014,Auto,None,,Copyright(C) Vladimir Bychkovsky
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0185-07-07-06-at-20h08m44s-_MG_2130.dng,11142656 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2007:07:06 20:08:44,,1/2000 s,F4,-2/3 EV,No, compulsory,,75.0 mm,,1600,Aperture priority,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0186-IMG_4587.dng,13570370 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:09:01 11:06:42,,1/200 s,F10,0 EV,No, compulsory,,33.0 mm,,100,Aperture priority,Multi-segment,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0187-IMG_3832.dng,12372894 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:08:13 16:15:47,,1/4000 s,F5,0 EV,No, compulsory,,24.0 mm,,100,Aperture priority,Spot,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0188-IMG_0344.dng,13257776 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:06:21 16:17:40,,1/320 s,F10,0 EV,No, compulsory,,55.0 mm,,200,Aperture priority,Multi-segment,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0189-IMG_1799.dng,6889942 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2005:08:20 09:16:12,,1/20 s,F9,0 EV,Yes, compulsory,,100.0 mm,,400,Aperture priority,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0190-dgw_034.dng,13366412 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2009:01:30 10:37:41,,1/500 s,F2.8,0 EV,No flash,,70.0 mm (35 mm equivalent: 70.0 mm),,640,Manual,Multi-segment,,,4284 x 2844,Manual,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0191-jmac_DSC2666.dng,4038078 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:02:07 15:32:22,,1/60 s,F2.8,0 EV,Yes, auto, return light detected,,20.0 mm (35 mm equivalent: 30.0 mm),,200,Auto,Multi-segment,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0192-_MG_7063.dng,8863638 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2008:03:07 23:38:36,,1/8000 s,F1.2,0 EV,No, compulsory,,85.0 mm,,1600,Aperture priority,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0193-IMG_4321.dng,14441346 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:08:30 16:39:53,,1/800 s,F2.8,0 EV,No, compulsory,,55.0 mm,,200,Aperture priority,Partial,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0194-IMG_2736.dng,12734472 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:07:26 16:31:21,,1/250 s,F5,-1/3 EV,No, compulsory,,180.0 mm,,200,Aperture priority,Multi-segment,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0195-_DGW6246.dng,14408272 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2009:02:25 14:50:06,,1/100 s,F3.5,0 EV,Yes, compulsory, return light detected,,50.0 mm (35 mm equivalent: 50.0 mm),,250,Auto,Center weighted average,,,4284 x 2844,Auto,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0196-2004-01-25 13-34-10 CRW_3079.dng,6094046 Bytes,image/tiff,3152 x 2068,Canon,Canon EOS DIGITAL REBEL,2004:01:25 13:34:10,,1/30 s,F5.6,+2/3 EV,No flash,,75.0 mm,,800,Aperture priority,Multi-segment,,,3152 x 2068,,None,Copyright 2007 by Eric Chan,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0197-Ja_Pe-32.dng,11154504 Bytes,image/tiff,4248 x 2400,LEICA,D-LUX 3,2008:09:07 18:24:00,,1/500 s,F8,-33/100 EV,No, compulsory,,6.3 mm,,400,Auto,Multi-segment,,,4248 x 2400,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0198-kme_134.dng,7768492 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2005:10:05 16:53:05,,1/200 s,F6.3,+1/3 EV,No, compulsory,,32.0 mm,,200,Auto,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0199-MB_060311_023.dng,7620952 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2006:03:11 15:54:19,,1/125 s,F8,+1/3 EV,No, compulsory,,27.0 mm,,100,Auto,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0200-KE_-2669.dng,4922554 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:07:15 11:13:23,,1/100 s,F5,0 EV,No flash,,62.0 mm (35 mm equivalent: 93.0 mm),,200,Auto,Multi-segment,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0201-MB_20030906_073.dng,5022490 Bytes,image/tiff,3152 x 2068,Canon,Canon EOS D60,2003:09:06 15:51:40,,1/180 s,F2.8,0 EV,No flash,,35.0 mm,,100,Shutter priority,Partial,,,3152 x 2068,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0202-KE_-1498.dng,3618556 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:06:12 11:12:26,,1/250 s,,0 EV,No flash,,,,200,Manual,Center weighted average,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0203-07-06-01-at-15h10m04-s_MG_1303.dng,11020244 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2007:06:01 15:10:04,,1/60 s,F4,0 EV,No, compulsory,,58.0 mm,,800,Aperture priority,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0204-_DSC3018.dng,8308536 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2008:09:07 19:34:16,,1/20 s,F5.6,0 EV,Yes, compulsory, return light not detected,,20.0 mm (35 mm equivalent: 20.0 mm),,400,Manual,Center weighted average,,,4284 x 2844,Auto,None,DAMIAN WAMPLER,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0205-NKIM_MG_6466.dng,10576730 Bytes,image/tiff,3944 x 2622,Canon,Canon EOS 40D,2008:11:07 15:19:18,,1/80 s,F3.2,0 EV,No, compulsory,,17.0 mm,,400,Manual,Multi-segment,,,3944 x 2622,Manual,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0206-kme_576.dng,9713670 Bytes,image/tiff,4248 x 2388,LEICA,D-LUX 3,2006:11:12 11:29:23,,1/125 s,F8,0 EV,No, compulsory,,8.7 mm,,100,Aperture priority,Multi-segment,,,4248 x 2388,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0207-jmac_MG_7695.dng,11192036 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2006:11:24 05:26:46,,1/250 s,F5.6,0 EV,No, compulsory,,24.0 mm,,200,Manual,Partial,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0208-_DGW6392.dng,14047658 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2009:02:25 17:12:12,,1/100 s,F5,0 EV,No flash,,50.0 mm (35 mm equivalent: 50.0 mm),,1250,Auto,Multi-segment,,,4284 x 2844,Auto,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0209-_DGW6273.dng,11189744 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2009:02:25 14:59:06,,1/125 s,F4,0 EV,No flash,,50.0 mm (35 mm equivalent: 50.0 mm),,200,Aperture priority,Center weighted average,,,4284 x 2844,Auto,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
